Manufacturer,Model,Price,Car Transmission,Power (BHP) of the car,Engine size in CC,Type of fuel,Number of male owners,Number of female owners,Gender unclassified,Total number of owners
Renault,Clio,22.1,5.62,75.58,1219.65,petrol,241287,241287,28004,581847
BMW,320i,47.85,6.44,126.11,1995.78,petrol,408016,408016,29125,552984
Volkswagen,Polo,18.19,5.07,60.96,1408.06,petrol,216333,216333,31701,547144
Peugeot,206,20.03,4.83,71.33,1631.5,petrol,178698,178698,26135,455447
Ford,Mondeo,39.97,1.75,130.25,1998.5,petrol,357452,357452,16550,443605
Nissan,Micra,20.38,4.87,67.96,1279.7,petrol,143218,143218,26619,422837
Honda,Civic,29.94,4.5,106.22,1480.58,petrol,242188,242188,21042,396188
Ford,Ka+,15.46,5.0,60.8,1196.0,petrol,102708,102708,20324,392460
Renault,Megane,26.45,5.41,87.31,1623.79,petrol,209379,209379,21049,387035
Toyota,Yaris,20.72,3.52,74.4,1397.8,petrol,137907,137907,27670,380521
Mercedes,CLA,46.53,7.04,131.6,1596.92,petrol,209476,209476,17242,296091
Audi,A4,57.93,6.16,149.71,2283.11,petrol,202037,202037,13629,275602
Volkswagen,Passat,46.06,6.49,125.44,1835.85,petrol,211510,211510,14505,274614
Audi,A3,36.22,6.47,94.33,1424.67,petrol,144962,144962,14460,256455
Peugeot,307,27.46,4.87,86.45,1723.0,petrol,132728,132728,14395,256114
Peugeot,207,21.7,4.9,79.77,1536.0,petrol,99472,99472,13442,251753
Citroen,Xsara,22.36,4.88,72.58,1743.44,petrol,145377,145377,11519,243925
Skoda,Fabia,19.01,5.21,66.97,1292.35,petrol,109408,109408,10776,207716
BMW,118i,37.43,6.2,104.2,1796.6,petrol,103719,103719,11806,203185
Land-Rover,Freelander,43.86,5.29,105.17,2083.52,diesel,118279,118279,9921,187569
Citroen,C3,22.9,5.41,75.65,1364.0,petrol,78551,78551,9893,186698
Toyota,Corolla,27.24,3.03,91.61,1677.95,petrol,104996,104996,12042,184222
BMW,535i,93.71,8.0,225.0,2979.0,petrol,138584,138584,9443,169329
Toyota,Avensis,37.32,4.32,103.68,1873.26,petrol,123806,123806,9574,163108
Mercedes,E,78.07,7.67,192.4,2598.82,petrol,125070,125070,9465,158564
Renault,Scenic,32.06,5.96,89.35,1472.83,diesel,85989,85989,8346,156802
Seat,Ibiza,19.94,5.65,76.32,1205.19,petrol,74717,74717,6282,154894
Land-Rover,Range,107.67,8.28,196.34,2521.09,diesel,107520,107520,6847,148446
Nissan,Qashqai+2,34.94,5.25,97.72,1820.66,diesel,79290,79290,8830,144659
Skoda,Octavia,30.65,6.35,95.0,1136.69,petrol,110428,110428,6147,142237
Fiat,500L,26.29,5.6,74.73,1186.33,diesel,30349,30349,8177,140639
Mercedes,A,31.1,4.55,93.01,1699.12,petrol,55510,55510,9727,134165
Nissan,Almera,22.78,4.92,81.67,1847.67,petrol,78034,78034,7892,130632
Citroen,C4,29.26,5.95,90.62,1462.36,petrol,79604,79604,5547,127281
Mini,One,24.1,6.25,68.75,1498.25,petrol,29548,29548,7427,124949
Toyota,RAV4,43.55,1.35,137.77,2261.19,petrol,59395,59395,8166,121566
Saab,9-3X,49.29,6.0,145.0,1963.67,petrol,84741,84741,6616,119305
Peugeot,107,11.14,5.0,50.0,998.0,petrol,32821,32821,5917,112629
Toyota,Aygo,15.21,5.0,53.0,998.0,petrol,33395,33395,7814,107356
Hyundai,I10,16.01,5.0,51.78,998.0,petrol,39242,39242,4208,106796
Audi,A6,82.06,7.73,199.73,2790.45,diesel,85861,85861,5507,106514
Kia,Picanto,16.59,5.0,52.85,998.0,petrol,36803,36803,3857,105385
Nissan,Note,19.32,5.0,66.43,1348.29,diesel,54195,54195,5908,101859
Seat,Leon,32.94,6.35,114.82,1615.37,petrol,65505,65505,3778,99504
Jaguar,XE,65.57,8.0,167.25,1998.0,petrol,79176,79176,3968,97090
Ford,Fusion,19.38,4.86,61.27,1470.91,petrol,51517,51517,4395,96939
Honda,Accord,39.4,5.78,117.71,2151.65,petrol,74157,74157,5274,95320
Mazda,MX-5,37.47,5.86,103.43,1718.57,petrol,47900,47900,5986,93405
Mazda,6,42.67,5.91,118.19,2095.19,petrol,71632,71632,4536,93384
Citroen,C1,13.49,5.0,52.38,1028.92,petrol,30691,30691,4503,92422
Suzuki,Swift,19.09,3.73,68.91,1180.55,petrol,34918,34918,6070,90817
Ford,Galaxy,53.79,6.0,124.86,1855.0,diesel,60515,60515,5151,90559
Peugeot,308,32.33,5.89,103.11,1482.5,petrol,50045,50045,4024,90079
Mazda,3,31.0,5.79,101.89,1905.63,petrol,52309,52309,4647,89680
Audi,TT,64.59,6.78,178.56,2011.56,petrol,45707,45707,5714,89371
Renault,Laguna,34.02,5.55,99.0,1920.03,diesel,66613,66613,3850,86809
Mazda,2,21.6,6.0,64.62,1496.0,petrol,29852,29852,5032,86198
Fiat,Panda,10.42,5.0,52.44,1095.78,petrol,34789,34789,4671,82232
Toyota,Auris,26.97,3.08,85.69,1515.28,petrol,47251,47251,4747,82030
Peugeot,306,18.64,4.84,67.0,1698.64,petrol,50801,50801,3897,81294
Peugeot,106,12.36,4.65,53.88,1366.29,petrol,41148,41148,3722,80790
Volvo,V70,50.96,6.18,135.29,1971.16,diesel,59903,59903,4431,78657
Citroen,Saxo,12.33,4.82,53.82,1367.27,petrol,38039,38039,3354,74674
Volkswagen,Touran,32.99,6.23,94.04,1528.81,diesel,41330,41330,4531,70042
Volkswagen,Beetle,33.25,6.17,112.75,1475.0,petrol,16475,16475,4776,70001
Kia,Rio,22.96,6.29,80.0,998.0,petrol,36610,36610,2239,67730
Ford,C-MAX,32.18,6.0,99.0,1448.6,petrol,39067,39067,2336,64302
BMW,X5,113.27,8.0,246.33,2994.67,diesel,45819,45819,3268,63675
Nissan,Juke,28.23,6.45,86.0,999.0,petrol,24663,24663,5707,62415
Suzuki,Vitara,26.8,5.43,85.71,1310.0,petrol,34682,34682,3559,61335
Kia,Ceed,26.98,5.86,88.09,1460.8,petrol,37398,37398,1991,59685
Peugeot,406,28.61,4.76,92.82,2043.82,petrol,46504,46504,2693,59182
Hyundai,Getz,13.64,4.71,69.0,1424.86,petrol,24389,24389,2947,58992
Nissan,X-Trail,47.36,3.75,113.38,1774.81,diesel,41540,41540,2532,58825
Mercedes,CLK,72.8,6.21,166.32,3041.0,petrol,38415,38415,3538,58391
Volvo,S40,35.28,5.18,113.35,2106.5,petrol,41358,41358,3194,58177
Rover,75,39.35,5.0,98.05,1928.71,petrol,46997,46997,2388,57445
Citroen,Berlingo,27.44,6.34,85.28,1452.0,diesel,37450,37450,2902,56357
Suzuki,Alto,9.56,4.6,50.0,996.0,petrol,21062,21062,4330,56169
Nissan,Primera,26.51,4.02,93.59,1933.02,petrol,41096,41096,3286,55803
Hyundai,I20,21.85,6.09,70.73,1052.27,petrol,26734,26734,2019,55498
Mercedes,SLK,61.86,6.83,184.17,2748.33,petrol,24741,24741,3794,53959
Ford,S-MAX,47.52,6.0,128.89,1886.56,diesel,31973,31973,2374,52170
Mercedes,ML,77.42,7.0,188.33,2876.0,diesel,35260,35260,3081,52160
Kia,Sportage,43.97,6.6,115.3,1634.2,diesel,32328,32328,1642,51834
Peugeot,407,38.73,5.54,114.65,2178.19,diesel,40589,40589,2246,51825
Citroen,C2,15.14,5.0,64.0,1382.75,petrol,21142,21142,2495,51614
Hyundai,I30,28.61,5.95,100.59,1387.62,petrol,31244,31244,2059,51490
Jaguar,XF,78.75,8.0,176.25,1997.0,diesel,43857,43857,1940,50657
Audi,A1,27.08,6.23,86.64,1377.57,petrol,17678,17678,2342,49791
Mitsubishi,Colt,17.04,5.3,73.49,1374.05,petrol,20915,20915,2781,48805
Audi,A5,59.43,7.0,150.45,1981.82,petrol,35411,35411,2161,46703
Jaguar,S-Type,66.59,5.74,172.32,2934.63,petrol,36990,36990,1853,43876
